Voltage (mV),Bit Error Rate (CDF),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,9.49151E-11,4.85965E-08,157.63653,0.02607
990,1.43511E-10,7.34777E-08,154.04093,0.02596
980,2.16409E-10,1.10801E-07,150.49073,0.02586
970,3.25456E-10,1.66633E-07,146.98612,0.02575
960,4.88118E-10,2.49916E-07,143.52611,0.02564
950,7.30065E-10,3.73793E-07,140.11170,0.02553
940,1.08890E-09,5.57519E-07,136.74228,0.02542
930,1.61956E-09,8.29217E-07,133.41805,0.02532
920,2.40201E-09,1.22983E-06,130.13861,0.02521
910,3.55227E-09,1.81876E-06,127.92375,0.02510
900,5.23818E-09,2.68195E-06,124.72346,0.02499
890,7.70170E-09,3.94326E-06,121.56834,0.02489
880,1.12904E-08,5.78069E-06,119.04937,0.02478
870,1.65022E-08,8.44908E-06,116.27013,0.02467
860,2.40472E-08,1.23121E-05,113.62500,0.02456
850,3.49357E-08,1.78869E-05,111.01632,0.02446
840,5.05990E-08,2.59063E-05,108.53726,0.02435
830,7.30582E-08,3.74051E-05,105.99915,0.02424
820,1.05157E-07,5.38390E-05,103.58808,0.02414
810,1.50882E-07,7.72486E-05,101.21092,0.02403
800,2.15800E-07,1.10484E-04,98.86630,0.02392
790,3.07659E-07,1.57509E-04,96.64338,0.02382
780,4.37197E-07,2.23820E-04,94.36385,0.02371
770,6.19243E-07,3.17002E-04,92.20247,0.02360
760,8.74194E-07,4.47487E-04,90.07029,0.02350
750,1.23000E-06,6.29561E-04,87.96657,0.02339
740,1.72479E-06,8.82704E-04,85.89076,0.02329
730,2.41041E-06,1.23337E-03,83.92289,0.02318
720,3.35703E-06,1.71733E-03,81.89689,0.02307
710,4.65923E-06,2.38269E-03,79.97301,0.02297
700,6.44398E-06,3.29389E-03,77.98847,0.02286
690,8.88101E-06,4.53677E-03,76.09734,0.02276
680,1.21962E-05,6.22503E-03,74.21562,0.02265
670,1.66888E-05,8.50834E-03,72.33835,0.02255
660,2.27537E-05,1.15824E-02,70.45825,0.02244
650,3.09095E-05,1.57013E-02,68.63869,0.02234
640,4.18339E-05,2.11917E-02,66.79432,0.02223
630,5.64091E-05,2.84692E-02,64.84404,0.02213
620,7.57773E-05,3.80564E-02,62.91179,0.02202
610,1.01411E-04,5.05999E-02,60.90974,0.02192
600,1.35198E-04,6.68844E-02,58.81897,0.02181
590,1.79549E-04,8.78379E-02,56.61755,0.02171
580,2.37525E-04,1.14522E-01,54.34269,0.02160
570,3.12991E-04,1.48092E-01,51.85607,0.02150
560,4.10808E-04,1.89721E-01,49.25477,0.02139
550,5.37050E-04,2.40461E-01,46.42756,0.02129
540,6.99268E-04,3.01032E-01,43.52340,0.02119
530,9.06801E-04,3.71546E-01,40.43166,0.02108
520,1.17113E-03,4.51172E-01,37.25653,0.02098
510,1.50628E-03,5.37818E-01,34.08648,0.02087
500,1.92930E-03,6.27962E-01,31.05891,0.02077
490,2.46078E-03,7.16764E-01,28.26141,0.02067
480,3.12541E-03,7.98651E-01,25.86201,0.02056
470,3.95263E-03,8.68370E-01,23.93372,0.02046
460,4.97730E-03,9.22288E-01,22.53496,0.02036
450,6.24039E-03,9.59445E-01,21.62421,0.02025
440,7.78974E-03,9.81757E-01,21.10733,0.02015
430,9.68074E-03,9.93131E-01,20.85665,0.02005
420,1.19770E-02,9.97907E-01,20.75691,0.01994
410,1.47511E-02,9.99504E-01,20.72526,0.01984
400,1.80848E-02,9.99913E-01,20.71756,0.01974
390,2.20697E-02,9.99989E-01,20.71622,0.01963
380,2.68070E-02,9.99999E-01,20.71587,0.01953
370,3.24076E-02,1.00000E+00,20.71584,0.01943
360,3.89911E-02,1.00000E+00,20.71584,0.01933
350,4.66854E-02,1.00000E+00,20.71588,0.01923
340,5.56245E-02,1.00000E+00,20.71602,0.01912
330,6.59468E-02,1.00000E+00,20.71600,0.01902
320,7.77922E-02,1.00000E+00,20.71584,0.01892
310,9.12988E-02,1.00000E+00,20.71602,0.01882
300,1.06599E-01,1.00000E+00,20.71584,0.01871
290,1.23814E-01,1.00000E+00,20.71602,0.01861
280,1.43050E-01,1.00000E+00,20.71584,0.01851
270,1.64392E-01,1.00000E+00,20.71594,0.01841
260,1.87898E-01,1.00000E+00,20.71594,0.01831
250,2.13593E-01,1.00000E+00,20.71592,0.01821
240,2.41465E-01,1.00000E+00,20.71594,0.01811
230,2.71458E-01,1.00000E+00,20.71594,0.01800
220,3.03472E-01,1.00000E+00,20.71594,0.01790
210,3.37356E-01,1.00000E+00,20.71594,0.01780
200,3.72911E-01,1.00000E+00,20.71594,0.01770
190,4.09890E-01,1.00000E+00,20.71592,0.01760
180,4.48002E-01,1.00000E+00,20.71594,0.01750
170,4.86915E-01,1.00000E+00,20.71594,0.01740
160,5.26268E-01,1.00000E+00,20.71594,0.01730
150,5.65676E-01,1.00000E+00,20.71594,0.01720
140,6.04744E-01,1.00000E+00,20.71592,0.01710
130,6.43078E-01,1.00000E+00,20.71594,0.01700
120,6.80297E-01,1.00000E+00,20.71592,0.01690
110,7.16045E-01,1.00000E+00,20.71594,0.01680
100,7.50004E-01,1.00000E+00,20.71593,0.01670
