Voltage (mV),Bit Error Rate (CDF),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,9.49151E-11,4.85965E-08,675.22197,0.06094
990,1.43511E-10,7.34777E-08,660.84196,0.06073
980,2.16409E-10,1.10801E-07,646.64194,0.06053
970,3.25456E-10,1.66633E-07,632.62192,0.06033
960,4.88118E-10,2.49916E-07,618.78188,0.06012
950,7.30065E-10,3.73793E-07,605.12582,0.05992
940,1.08890E-09,5.57519E-07,591.64574,0.05972
930,1.61956E-09,8.29217E-07,578.34963,0.05951
920,2.40201E-09,1.22983E-06,565.23346,0.05931
910,3.55227E-09,1.81876E-06,556.37322,0.05911
900,5.23818E-09,2.68195E-06,543.56888,0.05890
890,7.70170E-09,3.94326E-06,530.95241,0.05870
880,1.12904E-08,5.78069E-06,520.87573,0.05850
870,1.65022E-08,8.44908E-06,509.75877,0.05830
860,2.40472E-08,1.23121E-05,499.17742,0.05809
850,3.49357E-08,1.78869E-05,488.74354,0.05789
840,5.05990E-08,2.59063E-05,478.82490,0.05769
830,7.30582E-08,3.74051E-05,468.67324,0.05748
820,1.05157E-07,5.38390E-05,459.02815,0.05728
810,1.50882E-07,7.72486E-05,449.52033,0.05708
800,2.15800E-07,1.10484E-04,440.14226,0.05688
790,3.07659E-07,1.57509E-04,431.25096,0.05668
780,4.37197E-07,2.23820E-04,422.13205,0.05647
770,6.19243E-07,3.17002E-04,413.48653,0.05627
760,8.74194E-07,4.47487E-04,404.95780,0.05607
750,1.23000E-06,6.29561E-04,396.54334,0.05587
740,1.72479E-06,8.82704E-04,388.24008,0.05567
730,2.41041E-06,1.23337E-03,380.36858,0.05547
720,3.35703E-06,1.71733E-03,372.26461,0.05526
710,4.65923E-06,2.38269E-03,364.56909,0.05506
700,6.44398E-06,3.29389E-03,356.63091,0.05486
690,8.88101E-06,4.53677E-03,349.06641,0.05466
680,1.21962E-05,6.22503E-03,341.53990,0.05446
670,1.66888E-05,8.50834E-03,334.03084,0.05426
660,2.27537E-05,1.15824E-02,326.51004,0.05406
650,3.09095E-05,1.57013E-02,319.23178,0.05386
640,4.18339E-05,2.11917E-02,311.85394,0.05366
630,5.64091E-05,2.84692E-02,304.05357,0.05346
620,7.57773E-05,3.80564E-02,296.32419,0.05326
610,1.01411E-04,5.05999E-02,288.31638,0.05306
600,1.35198E-04,6.68844E-02,279.95255,0.05286
590,1.79549E-04,8.78379E-02,271.14759,0.05266
580,2.37525E-04,1.14522E-01,262.04740,0.05246
570,3.12991E-04,1.48092E-01,252.10168,0.05226
560,4.10808E-04,1.89721E-01,241.69643,0.05206
550,5.37050E-04,2.40461E-01,230.38728,0.05186
540,6.99268E-04,3.01032E-01,218.77036,0.05166
530,9.06801E-04,3.71546E-01,206.40369,0.05146
520,1.17113E-03,4.51172E-01,193.70338,0.05126
510,1.50628E-03,5.37818E-01,181.02279,0.05106
500,1.92930E-03,6.27962E-01,168.91266,0.05086
490,2.46078E-03,7.16764E-01,157.72241,0.05066
480,3.12541E-03,7.98651E-01,148.12501,0.05046
470,3.95263E-03,8.68370E-01,140.41193,0.05026
460,4.97730E-03,9.22288E-01,134.81764,0.05006
450,6.24039E-03,9.59445E-01,131.17386,0.04986
440,7.78974E-03,9.81757E-01,129.10636,0.04966
430,9.68074E-03,9.93131E-01,128.10325,0.04947
420,1.19770E-02,9.97907E-01,127.70434,0.04927
410,1.47511E-02,9.99504E-01,127.57782,0.04907
400,1.80848E-02,9.99913E-01,127.54703,0.04887
390,2.20697E-02,9.99989E-01,127.54154,0.04867
380,2.68070E-02,9.99999E-01,127.54086,0.04847
370,3.24076E-02,1.00000E+00,127.54080,0.04828
360,3.89911E-02,1.00000E+00,127.54080,0.04808
350,4.66854E-02,1.00000E+00,127.54040,0.04788
340,5.56245E-02,1.00000E+00,127.54080,0.04768
330,6.59468E-02,1.00000E+00,127.54080,0.04748
320,7.77922E-02,1.00000E+00,127.54080,0.04729
310,9.12988E-02,1.00000E+00,127.54080,0.04709
300,1.06599E-01,1.00000E+00,127.54080,0.04689
290,1.23814E-01,1.00000E+00,127.54068,0.04669
280,1.43050E-01,1.00000E+00,127.54080,0.04650
270,1.64392E-01,1.00000E+00,127.54072,0.04630
260,1.87898E-01,1.00000E+00,127.54076,0.04610
250,2.13593E-01,1.00000E+00,127.54080,0.04591
240,2.41465E-01,1.00000E+00,127.54072,0.04571
230,2.71458E-01,1.00000E+00,127.54060,0.04551
220,3.03472E-01,1.00000E+00,127.54092,0.04532
210,3.37356E-01,1.00000E+00,127.54076,0.04512
200,3.72911E-01,1.00000E+00,127.54076,0.04492
190,4.09890E-01,1.00000E+00,127.54072,0.04473
180,4.48002E-01,1.00000E+00,127.54092,0.04453
170,4.86915E-01,1.00000E+00,127.54060,0.04433
160,5.26268E-01,1.00000E+00,127.54064,0.04414
150,5.65676E-01,1.00000E+00,127.54084,0.04394
140,6.04744E-01,1.00000E+00,127.54076,0.04375
130,6.43078E-01,1.00000E+00,127.54084,0.04355
120,6.80297E-01,1.00000E+00,127.54076,0.04335
110,7.16045E-01,1.00000E+00,127.54088,0.04316
100,7.50004E-01,1.00000E+00,127.54068,0.04296
